日付	名称	曜日
1983-02-11	建国記念の日	金
1983-03-21	春分の日	月
1983-04-29	天皇誕生日	金
1983-05-03	憲法記念日	火
1983-05-05	こどもの日	木
1983-09-15	敬老の日	木
1983-09-23	秋分の日	金
1983-10-10	体育の日	月
1983-11-03	文化の日	木
1983-11-23	勤労感謝の日	水
1984-01-01	元日	日
1984-01-02	休日	月
1984-01-15	成人の日	日
1984-01-16	休日	月
1984-02-11	建国記念の日	土
1984-03-20	春分の日	火
1984-04-29	天皇誕生日	日
1984-04-30	休日	月
1984-05-03	憲法記念日	木
1984-05-05	こどもの日	土
1984-09-15	敬老の日	土
1984-09-23	秋分の日	日
1984-09-24	休日	月
1984-10-10	体育の日	水
1984-11-03	文化の日	土
1984-11-23	勤労感謝の日	金
1985-01-01	元日	火
1985-01-15	成人の日	火
1985-02-11	建国記念の日	月
1985-03-21	春分の日	木
1985-04-29	天皇誕生日	月
1985-05-03	憲法記念日	金
1985-05-05	こどもの日	日
1985-05-06	休日	月
1985-09-15	敬老の日	日
1985-09-16	休日	月
1985-09-23	秋分の日	月
1985-10-10	体育の日	木
1985-11-03	文化の日	日
1985-11-04	休日	月
1985-11-23	勤労感謝の日	土
1986-01-01	元日	水
1986-01-15	成人の日	水
1986-02-11	建国記念の日	火
1986-03-21	春分の日	金
1986-04-29	天皇誕生日	火
1986-05-03	憲法記念日	土
1986-05-05	こどもの日	月
1986-09-15	敬老の日	月
1986-09-23	秋分の日	火
1986-10-10	体育の日	金
1986-11-03	文化の日	月
1986-11-23	勤労感謝の日	日
1986-11-24	休日	月
1987-01-01	元日	木
1987-01-15	成人の日	木
1987-02-11	建国記念の日	水
1987-03-21	春分の日	土
1987-04-29	天皇誕生日	水
1987-05-03	憲法記念日	日
1987-05-04	休日	月
1987-05-05	こどもの日	火
1987-09-15	敬老の日	火
1987-09-23	秋分の日	水
1987-10-10	体育の日	土
1987-11-03	文化の日	火
1987-11-23	勤労感謝の日	月
1988-01-01	元日	金
1988-01-15	成人の日	金
1988-02-11	建国記念の日	木
1988-03-20	春分の日	日
1988-03-21	休日	月
1988-04-29	天皇誕生日	金
1988-05-03	憲法記念日	火
1988-05-04	休日	水
1988-05-05	こどもの日	木
1988-09-15	敬老の日	木
1988-09-23	秋分の日	金
1988-10-10	体育の日	月
1988-11-03	文化の日	木
1988-11-23	勤労感謝の日	水
1989-01-01	元日	日
1989-01-02	休日	月
1989-01-15	成人の日	日
1989-01-16	休日	月
1989-02-11	建国記念の日	土
1989-02-24	大喪の礼	金
1989-03-21	春分の日	火
1989-04-29	みどりの日	土
1989-05-03	憲法記念日	水
1989-05-04	休日	木
1989-05-05	こどもの日	金
1989-09-15	敬老の日	金
1989-09-23	秋分の日	土
1989-10-10	体育の日	火
1989-11-03	文化の日	金
1989-11-23	勤労感謝の日	木
1989-12-23	天皇誕生日	土
1990-01-01	元日	月
1990-01-15	成人の日	月
1990-02-11	建国記念の日	日
1990-02-12	休日	月
1990-03-21	春分の日	水
1990-04-29	みどりの日	日
1990-04-30	休日	月
1990-05-03	憲法記念日	木
1990-05-04	休日	金
1990-05-05	こどもの日	土
1990-09-15	敬老の日	土
1990-09-23	秋分の日	日
1990-09-24	休日	月
1990-10-10	体育の日	水
1990-11-03	文化の日	土
1990-11-12	即位礼正殿の儀	月
1990-11-23	勤労感謝の日	金
1990-12-23	天皇誕生日	日
1990-12-24	休日	月
1991-01-01	元日	火
1991-01-15	成人の日	火
1991-02-11	建国記念の日	月
1991-03-21	春分の日	木
1991-04-29	みどりの日	月
1991-05-03	憲法記念日	金
1991-05-04	休日	土
1991-05-05	こどもの日	日
1991-05-06	休日	月
1991-09-15	敬老の日	日
1991-09-16	休日	月
1991-09-23	秋分の日	月
1991-10-10	体育の日	木
1991-11-03	文化の日	日
1991-11-04	休日	月
1991-11-23	勤労感謝の日	土
1991-12-23	天皇誕生日	月
1992-01-01	元日	水
1992-01-15	成人の日	水
1992-02-11	建国記念の日	火
1992-03-20	春分の日	金
1992-04-29	みどりの日	水
1992-05-03	憲法記念日	日
1992-05-04	休日	月
1992-05-05	こどもの日	火
1992-09-15	敬老の日	火
1992-09-23	秋分の日	水
1992-10-10	体育の日	土
1992-11-03	文化の日	火
1992-11-23	勤労感謝の日	月
1992-12-23	天皇誕生日	水
1993-01-01	元日	金
1993-01-15	成人の日	金
1993-02-11	建国記念の日	木
1993-03-20	春分の日	土
1993-04-29	みどりの日	木
1993-05-03	憲法記念日	月
1993-05-04	休日	火
1993-05-05	こどもの日	水
1993-06-09	結婚の儀	水
1993-09-15	敬老の日	水
1993-09-23	秋分の日	木
1993-10-10	体育の日	日
1993-10-11	休日	月
1993-11-03	文化の日	水
1993-11-23	勤労感謝の日	火
1993-12-23	天皇誕生日	木
1994-01-01	元日	土
1994-01-15	成人の日	土
1994-02-11	建国記念の日	金
1994-03-21	春分の日	月
1994-04-29	みどりの日	金
1994-05-03	憲法記念日	火
1994-05-04	休日	水
1994-05-05	こどもの日	木
1994-09-15	敬老の日	木
1994-09-23	秋分の日	金
1994-10-10	体育の日	月
1994-11-03	文化の日	木
1994-11-23	勤労感謝の日	水
1994-12-23	天皇誕生日	金
1995-01-01	元日	日
1995-01-02	休日	月
1995-01-15	成人の日	日
1995-01-16	休日	月
1995-02-11	建国記念の日	土
1995-03-21	春分の日	火
1995-04-29	みどりの日	土
1995-05-03	憲法記念日	水
1995-05-04	休日	木
1995-05-05	こどもの日	金
1995-09-15	敬老の日	金
1995-09-23	秋分の日	土
1995-10-10	体育の日	火
1995-11-03	文化の日	金
1995-11-23	勤労感謝の日	木
1995-12-23	天皇誕生日	土
1996-01-01	元日	月
1996-01-15	成人の日	月
1996-02-11	建国記念の日	日
1996-02-12	休日	月
1996-03-20	春分の日	水
1996-04-29	みどりの日	月
1996-05-03	憲法記念日	金
1996-05-04	休日	土
1996-05-05	こどもの日	日
1996-05-06	休日	月
1996-07-20	海の日	土
1996-09-15	敬老の日	日
1996-09-16	休日	月
1996-09-23	秋分の日	月
1996-10-10	体育の日	木
1996-11-03	文化の日	日
1996-11-04	休日	月
1996-11-23	勤労感謝の日	土
1996-12-23	天皇誕生日	月
1997-01-01	元日	水
1997-01-15	成人の日	水
1997-02-11	建国記念の日	火
1997-03-20	春分の日	木
1997-04-29	みどりの日	火
1997-05-03	憲法記念日	土
1997-05-05	こどもの日	月
1997-07-20	海の日	日
1997-07-21	休日	月
1997-09-15	敬老の日	月
1997-09-23	秋分の日	火
1997-10-10	体育の日	金
1997-11-03	文化の日	月
1997-11-23	勤労感謝の日	日
1997-11-24	休日	月
1997-12-23	天皇誕生日	火
1998-01-01	元日	木
1998-01-15	成人の日	木
1998-02-11	建国記念の日	水
1998-03-21	春分の日	土
1998-04-29	みどりの日	水
1998-05-03	憲法記念日	日
1998-05-04	休日	月
1998-05-05	こどもの日	火
1998-07-20	海の日	月
1998-09-15	敬老の日	火
1998-09-23	秋分の日	水
1998-10-10	体育の日	土
1998-11-03	文化の日	火
1998-11-23	勤労感謝の日	月
1998-12-23	天皇誕生日	水
1999-01-01	元日	金
1999-01-15	成人の日	金
1999-02-11	建国記念の日	木
1999-03-21	春分の日	日
1999-03-22	休日	月
1999-04-29	みどりの日	木
1999-05-03	憲法記念日	月
1999-05-04	休日	火
1999-05-05	こどもの日	水
1999-07-20	海の日	火
1999-09-15	敬老の日	水
1999-09-23	秋分の日	木
1999-10-10	体育の日	日
1999-10-11	休日	月
1999-11-03	文化の日	水
1999-11-23	勤労感謝の日	火
1999-12-23	天皇誕生日	木
2000-01-01	元日	土
2000-01-10	成人の日	月
